,L,W,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30
457,0.0187,0.0272,5.33E-10,9.15E-10,1.53E-09,2.55E-09,4.24E-09,7.03E-09,1.16E-08,1.91E-08,3.14E-08,5.13E-08,8.36E-08,1.36E-07,2.27E-07,3.70E-07,5.94E-07,9.46E-07,1.41E-06,2.10E-06,3.12E-06,4.60E-06,6.33E-06,8.18E-06,1.04E-05,1.30E-05,1.62E-05,2.02E-05,2.51E-05,3.08E-05,3.63E-05,3.85E-05
458,0.0187,0.0283,5.34E-10,9.18E-10,1.54E-09,2.56E-09,4.26E-09,7.05E-09,1.16E-08,1.92E-08,3.15E-08,5.14E-08,8.39E-08,1.36E-07,2.28E-07,3.71E-07,5.96E-07,9.49E-07,1.42E-06,2.11E-06,3.12E-06,4.61E-06,6.35E-06,8.21E-06,1.04E-05,1.30E-05,1.63E-05,2.03E-05,2.51E-05,3.09E-05,3.63E-05,3.86E-05
459,0.0187,0.0293,5.36E-10,9.20E-10,1.54E-09,2.56E-09,4.27E-09,7.06E-09,1.17E-08,1.92E-08,3.15E-08,5.15E-08,8.41E-08,1.36E-07,2.29E-07,3.72E-07,5.97E-07,9.51E-07,1.42E-06,2.11E-06,3.13E-06,4.62E-06,6.37E-06,8.23E-06,1.04E-05,1.31E-05,1.63E-05,2.03E-05,2.52E-05,3.10E-05,3.64E-05,3.86E-05
460,0.0187,0.0303,5.37E-10,9.22E-10,1.54E-09,2.57E-09,4.28E-09,7.08E-09,1.17E-08,1.93E-08,3.16E-08,5.17E-08,8.43E-08,1.37E-07,2.29E-07,3.73E-07,5.99E-07,9.54E-07,1.42E-06,2.12E-06,3.14E-06,4.63E-06,6.38E-06,8.25E-06,1.04E-05,1.31E-05,1.63E-05,2.03E-05,2.53E-05,3.11E-05,3.65E-05,3.87E-05
461,0.0187,0.0314,5.38E-10,9.25E-10,1.55E-09,2.58E-09,4.29E-09,7.10E-09,1.17E-08,1.93E-08,3.17E-08,5.18E-08,8.45E-08,1.37E-07,2.30E-07,3.74E-07,6.00E-07,9.57E-07,1.43E-06,2.12E-06,3.15E-06,4.64E-06,6.40E-06,8.27E-06,1.05E-05,1.31E-05,1.64E-05,2.04E-05,2.53E-05,3.11E-05,3.66E-05,3.88E-05
462,0.0187,0.0324,5.39E-10,9.27E-10,1.55E-09,2.58E-09,4.30E-09,7.12E-09,1.18E-08,1.94E-08,3.18E-08,5.19E-08,8.47E-08,1.37E-07,2.30E-07,3.75E-07,6.02E-07,9.59E-07,1.43E-06,2.13E-06,3.16E-06,4.66E-06,6.41E-06,8.29E-06,1.05E-05,1.32E-05,1.64E-05,2.04E-05,2.54E-05,3.12E-05,3.66E-05,3.89E-05
463,0.0187,0.0334,5.41E-10,9.30E-10,1.56E-09,2.59E-09,4.31E-09,7.14E-09,1.18E-08,1.94E-08,3.19E-08,5.21E-08,8.49E-08,1.38E-07,2.31E-07,3.76E-07,6.03E-07,9.62E-07,1.44E-06,2.13E-06,3.17E-06,4.67E-06,6.43E-06,8.31E-06,1.05E-05,1.32E-05,1.65E-05,2.05E-05,2.54E-05,3.13E-05,3.67E-05,3.90E-05
464,0.0187,0.0345,5.42E-10,9.32E-10,1.56E-09,2.60E-09,4.32E-09,7.16E-09,1.18E-08,1.95E-08,3.19E-08,5.22E-08,8.52E-08,1.38E-07,2.31E-07,3.77E-07,6.05E-07,9.64E-07,1.44E-06,2.14E-06,3.17E-06,4.68E-06,6.45E-06,8.33E-06,1.05E-05,1.32E-05,1.65E-05,2.05E-05,2.55E-05,3.13E-05,3.68E-05,3.90E-05
465,0.0187,0.0355,5.43E-10,9.35E-10,1.56E-09,2.60E-09,4.33E-09,7.17E-09,1.18E-08,1.95E-08,3.20E-08,5.23E-08,8.54E-08,1.38E-07,2.32E-07,3.78E-07,6.07E-07,9.67E-07,1.44E-06,2.15E-06,3.18E-06,4.69E-06,6.46E-06,8.35E-06,1.06E-05,1.32E-05,1.65E-05,2.06E-05,2.55E-05,3.14E-05,3.69E-05,3.91E-05
466,0.0187,0.0366,5.45E-10,9.37E-10,1.57E-09,2.61E-09,4.34E-09,7.19E-09,1.19E-08,1.96E-08,3.21E-08,5.25E-08,8.56E-08,1.39E-07,2.33E-07,3.79E-07,6.08E-07,9.69E-07,1.45E-06,2.15E-06,3.19E-06,4.71E-06,6.48E-06,8.37E-06,1.06E-05,1.33E-05,1.66E-05,2.06E-05,2.56E-05,3.15E-05,3.70E-05,3.92E-05
467,0.0187,0.0376,5.46E-10,9.40E-10,1.57E-09,2.62E-09,4.36E-09,7.21E-09,1.19E-08,1.96E-08,3.22E-08,5.26E-08,8.58E-08,1.39E-07,2.33E-07,3.80E-07,6.10E-07,9.72E-07,1.45E-06,2.16E-06,3.20E-06,4.72E-06,6.49E-06,8.39E-06,1.06E-05,1.33E-05,1.66E-05,2.07E-05,2.57E-05,3.16E-05,3.70E-05,3.93E-05
468,0.0187,0.0386,5.47E-10,9.42E-10,1.58E-09,2.62E-09,4.37E-09,7.23E-09,1.19E-08,1.97E-08,3.23E-08,5.27E-08,8.60E-08,1.39E-07,2.34E-07,3.81E-07,6.11E-07,9.74E-07,1.45E-06,2.16E-06,3.21E-06,4.73E-06,6.51E-06,8.41E-06,1.06E-05,1.33E-05,1.67E-05,2.07E-05,2.57E-05,3.16E-05,3.71E-05,3.94E-05
469,0.0187,0.0397,5.48E-10,9.45E-10,1.58E-09,2.63E-09,4.38E-09,7.25E-09,1.20E-08,1.97E-08,3.24E-08,5.29E-08,8.62E-08,1.40E-07,2.34E-07,3.82E-07,6.13E-07,9.77E-07,1.46E-06,2.17E-06,3.22E-06,4.74E-06,6.53E-06,8.43E-06,1.07E-05,1.34E-05,1.67E-05,2.08E-05,2.58E-05,3.17E-05,3.72E-05,3.95E-05
470,0.0187,0.0407,5.50E-10,9.48E-10,1.58E-09,2.64E-09,4.39E-09,7.27E-09,1.20E-08,1.98E-08,3.24E-08,5.30E-08,8.65E-08,1.40E-07,2.35E-07,3.83E-07,6.14E-07,9.80E-07,1.46E-06,2.17E-06,3.22E-06,4.75E-06,6.54E-06,8.45E-06,1.07E-05,1.34E-05,1.67E-05,2.08E-05,2.58E-05,3.18E-05,3.73E-05,3.95E-05
471,0.0187,0.0417,5.51E-10,9.50E-10,1.59E-09,2.64E-09,4.40E-09,7.29E-09,1.20E-08,1.98E-08,3.25E-08,5.31E-08,8.67E-08,1.41E-07,2.36E-07,3.84E-07,6.16E-07,9.82E-07,1.47E-06,2.18E-06,3.23E-06,4.77E-06,6.56E-06,8.47E-06,1.07E-05,1.34E-05,1.68E-05,2.09E-05,2.59E-05,3.18E-05,3.74E-05,3.96E-05
472,0.0187,0.0428,5.52E-10,9.53E-10,1.59E-09,2.65E-09,4.41E-09,7.31E-09,1.21E-08,1.99E-08,3.26E-08,5.33E-08,8.69E-08,1.41E-07,2.36E-07,3.85E-07,6.18E-07,9.85E-07,1.47E-06,2.19E-06,3.24E-06,4.78E-06,6.58E-06,8.50E-06,1.07E-05,1.35E-05,1.68E-05,2.09E-05,2.59E-05,3.19E-05,3.74E-05,3.97E-05
473,0.0187,0.0438,5.53E-10,9.56E-10,1.60E-09,2.66E-09,4.42E-09,7.32E-09,1.21E-08,1.99E-08,3.27E-08,5.34E-08,8.71E-08,1.41E-07,2.37E-07,3.86E-07,6.19E-07,9.88E-07,1.47E-06,2.19E-06,3.25E-06,4.79E-06,6.59E-06,8.52E-06,1.08E-05,1.35E-05,1.68E-05,2.09E-05,2.60E-05,3.20E-05,3.75E-05,3.98E-05
474,0.0187,0.0448,5.55E-10,9.58E-10,1.60E-09,2.66E-09,4.43E-09,7.34E-09,1.21E-08,2.00E-08,3.28E-08,5.35E-08,8.73E-08,1.42E-07,2.37E-07,3.87E-07,6.21E-07,9.90E-07,1.48E-06,2.20E-06,3.26E-06,4.80E-06,6.61E-06,8.54E-06,1.08E-05,1.35E-05,1.69E-05,2.10E-05,2.61E-05,3.21E-05,3.76E-05,3.99E-05
475,0.0187,0.0459,5.56E-10,9.61E-10,1.60E-09,2.67E-09,4.45E-09,7.36E-09,1.22E-08,2.00E-08,3.28E-08,5.37E-08,8.75E-08,1.42E-07,2.38E-07,3.88E-07,6.22E-07,9.93E-07,1.48E-06,2.20E-06,3.27E-06,4.82E-06,6.63E-06,8.56E-06,1.08E-05,1.36E-05,1.69E-05,2.10E-05,2.61E-05,3.21E-05,3.77E-05,3.99E-05
476,0.0187,0.0469,5.57E-10,9.64E-10,1.61E-09,2.68E-09,4.46E-09,7.38E-09,1.22E-08,2.01E-08,3.29E-08,5.38E-08,8.78E-08,1.42E-07,2.38E-07,3.89E-07,6.24E-07,9.95E-07,1.49E-06,2.21E-06,3.27E-06,4.83E-06,6.64E-06,8.58E-06,1.08E-05,1.36E-05,1.70E-05,2.11E-05,2.62E-05,3.22E-05,3.77E-05,4.00E-05
477,0.0187,0.0479,5.58E-10,9.66E-10,1.61E-09,2.69E-09,4.47E-09,7.40E-09,1.22E-08,2.01E-08,3.30E-08,5.39E-08,8.80E-08,1.43E-07,2.39E-07,3.90E-07,6.25E-07,9.98E-07,1.49E-06,2.21E-06,3.28E-06,4.84E-06,6.66E-06,8.60E-06,1.09E-05,1.36E-05,1.70E-05,2.11E-05,2.62E-05,3.23E-05,3.78E-05,4.01E-05
478,0.0187,0.049,5.60E-10,9.69E-10,1.62E-09,2.69E-09,4.48E-09,7.42E-09,1.22E-08,2.02E-08,3.31E-08,5.41E-08,8.82E-08,1.43E-07,2.40E-07,3.91E-07,6.27E-07,1.00E-06,1.49E-06,2.22E-06,3.29E-06,4.85E-06,6.68E-06,8.62E-06,1.09E-05,1.36E-05,1.70E-05,2.12E-05,2.63E-05,3.24E-05,3.79E-05,4.02E-05
479,0.0187,0.05,5.61E-10,9.72E-10,1.62E-09,2.70E-09,4.49E-09,7.44E-09,1.23E-08,2.02E-08,3.32E-08,5.42E-08,8.84E-08,1.43E-07,2.40E-07,3.92E-07,6.29E-07,1.00E-06,1.50E-06,2.23E-06,3.30E-06,4.87E-06,6.69E-06,8.64E-06,1.09E-05,1.37E-05,1.71E-05,2.12E-05,2.63E-05,3.24E-05,3.80E-05,4.03E-05
480,0.0192,0.02,5.17E-10,8.86E-10,1.48E-09,2.47E-09,4.11E-09,6.81E-09,1.12E-08,1.85E-08,3.04E-08,4.97E-08,8.11E-08,1.32E-07,2.21E-07,3.60E-07,5.78E-07,9.20E-07,1.37E-06,2.04E-06,3.03E-06,4.47E-06,6.18E-06,7.99E-06,1.01E-05,1.27E-05,1.59E-05,1.98E-05,2.45E-05,3.02E-05,3.55E-05,3.77E-05
481,0.0192,0.021,5.18E-10,8.89E-10,1.49E-09,2.48E-09,4.12E-09,6.83E-09,1.13E-08,1.86E-08,3.05E-08,4.98E-08,8.13E-08,1.32E-07,2.22E-07,3.61E-07,5.80E-07,9.23E-07,1.38E-06,2.05E-06,3.04E-06,4.48E-06,6.19E-06,8.01E-06,1.02E-05,1.27E-05,1.59E-05,1.98E-05,2.46E-05,3.02E-05,3.56E-05,3.78E-05
482,0.0192,0.0221,5.19E-10,8.91E-10,1.49E-09,2.48E-09,4.13E-09,6.84E-09,1.13E-08,1.86E-08,3.06E-08,5.00E-08,8.15E-08,1.32E-07,2.22E-07,3.62E-07,5.81E-07,9.25E-07,1.38E-06,2.05E-06,3.05E-06,4.50E-06,6.21E-06,8.03E-06,1.02E-05,1.28E-05,1.60E-05,1.99E-05,2.47E-05,3.03E-05,3.57E-05,3.79E-05
483,0.0192,0.0231,5.20E-10,8.94E-10,1.50E-09,2.49E-09,4.14E-09,6.86E-09,1.13E-08,1.87E-08,3.06E-08,5.01E-08,8.17E-08,1.33E-07,2.23E-07,3.63E-07,5.83E-07,9.28E-07,1.39E-06,2.06E-06,3.06E-06,4.51E-06,6.23E-06,8.05E-06,1.02E-05,1.28E-05,1.60E-05,1.99E-05,2.47E-05,3.04E-05,3.58E-05,3.80E-05
484,0.0192,0.0241,5.21E-10,8.96E-10,1.50E-09,2.50E-09,4.15E-09,6.88E-09,1.14E-08,1.87E-08,3.07E-08,5.02E-08,8.19E-08,1.33E-07,2.23E-07,3.64E-07,5.84E-07,9.30E-07,1.39E-06,2.07E-06,3.06E-06,4.52E-06,6.24E-06,8.07E-06,1.02E-05,1.28E-05,1.60E-05,1.99E-05,2.48E-05,3.05E-05,3.58E-05,3.80E-05
